blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
23075634,1754406191,0xd4e15d4158283b7ebc3a41db547949ae615f8a1e9255f9aa39107f3fbb4a2b7a,6087,0x59411c9dd35f2e2233d5ef7e9064ebf4b0ef4c3b045ce79af23c1dbfb2405b54,0x483a910a7479af5bd1333014af97ee5c733a7052,0xdac17f958d2ee523a2206206994597c13d831ec7,0x28c6c06298d514db089934071355e5743bf21d60,1639990.3739,Tether USD,USDT,6,373,55499,4489073011,41333,28936711,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",2
23075634,1754406191,0x83a235b9e1cfa11b5a9dc471c652d73453247488320a73380193ef7baaa09d4d,14481,0x59411c9dd35f2e2233d5ef7e9064ebf4b0ef4c3b045ce79af23c1dbfb2405b54,0x5fa9cc82f2e743c14bc165f9c25df8db859fd90b,0xdac17f958d2ee523a2206206994597c13d831ec7,0xb3d891c05febd428b782c242bf94dc73613549c9,479000.0,Tether USD,USDT,6,364,168518,5139073011,61356,27764704,deprecated,0x2da03409,"flushForwarderTokens(address forwarderAddress, address tokenContractAddress)",2
23075634,1754406191,0xb29887e4af33cb30da92b03c5119fa462d75c286ead9353b25df204b2f7ada77,3485,0x59411c9dd35f2e2233d5ef7e9064ebf4b0ef4c3b045ce79af23c1dbfb2405b54,0x97bcaa99cb2af0affc8a024d286611bb88dcf51a,0xdac17f958d2ee523a2206206994597c13d831ec7,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,214475.1609,Tether USD,USDT,6,311,46237,4000000000,46121,25819967,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",2
23075634,1754406191,0xd1932a353bb4e0e8ac226859a1f368e00387857e8ffd85946c7bff33b7ee3f89,235,0x59411c9dd35f2e2233d5ef7e9064ebf4b0ef4c3b045ce79af23c1dbfb2405b54,0x11a63be069a0183ad6bb2915845ee228bfc3f82e,0xdac17f958d2ee523a2206206994597c13d831ec7,0x28c6c06298d514db089934071355e5743bf21d60,600000.0,Tether USD,USDT,6,294,55470,4489073011,41309,24452831,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",2
23075634,1754406191,0xbe2723c7d60d437a9c497bdee09f11a1a2cca848215cca6ea2adf0842eba40c5,191,0x59411c9dd35f2e2233d5ef7e9064ebf4b0ef4c3b045ce79af23c1dbfb2405b54,0x3b82d2c1f348757c28fb3426caabd8f59c011c59,0xdac17f958d2ee523a2206206994597c13d831ec7,0xd75c8e6b6cfc7cb5fd36e464637f6f3b1c4ce5e5,140800.0,Tether USD,USDT,6,238,51140,4078073011,46109,21987190,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",2
23075634,1754406191,0x370d08ee5a5c95502c8c1cc963a27a241e905ee80c8e0235ead3bfc2e266fae8,1722,0x59411c9dd35f2e2233d5ef7e9064ebf4b0ef4c3b045ce79af23c1dbfb2405b54,0x436f6186cd323abd8433bf1311389e561356b3b5,0xdac17f958d2ee523a2206206994597c13d831ec7,0x4c0ad502dab7aed3fd787d2332d4aca49eec77cd,800000.0,Tether USD,USDT,6,234,96064,4099073011,46109,21786603,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",2
23075634,1754406191,0x99b47b343496900332953b686cd0fb43830791d97332fbcd5ea47408cc745125,54257,0x59411c9dd35f2e2233d5ef7e9064ebf4b0ef4c3b045ce79af23c1dbfb2405b54,0x18e296053cbdf986196903e889b7dca7a73882f6,0xdac17f958d2ee523a2206206994597c13d831ec7,0xefbc8dcf621af507a64e2ea4daa62aa47d84e5f6,180000.0,Tether USD,USDT,6,44,90000,5989073011,46109,13083764,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",2
23075634,1754406191,0xe8d4c863d0e6147cfd33a7d13fe056794b36483cc5400e0ebdbd27f27a8da67c,2598610,0x59411c9dd35f2e2233d5ef7e9064ebf4b0ef4c3b045ce79af23c1dbfb2405b54,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,0xdac17f958d2ee523a2206206994597c13d831ec7,0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,2605705.77622,Tether USD,USDT,6,12,2000000,4989073011,515615,7598425,deprecated,0xca350aa6,,2
23075633,1754406179,0xf0c86798ce6eba350a560da2557451b377954ee1d5e82fb227d982a86ca94a8d,65,0x98935cd709b4deefa56987ae8933c3118d7242ad042fc089e52a0379c5065c87,0x8341b484e6a3adc69d91e03a34c0642d32837d7f,0xdac17f958d2ee523a2206206994597c13d831ec7,0xe1986bc2407d27d00511b65648f66f691832efc6,162657.0,Tether USD,USDT,6,219,46121,4355710984,46121,13634771,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",3
23075633,1754406179,0xbf6babc55f88db0de3b8fca33da94a429d6b470e184c9d92d40cdeecddf3f4fe,10,0x98935cd709b4deefa56987ae8933c3118d7242ad042fc089e52a0379c5065c87,0xb612099cabf4e0889613516644734409c18c2d5a,0xdac17f958d2ee523a2206206994597c13d831ec7,0xeed5a230120f45995fc44483fc700c77adcd7b87,139576.54,Tether USD,USDT,6,169,46121,6166448486,41321,11485979,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",3
23075633,1754406179,0x88721f7c16abec42ffc7235026939def72a21e2b972c29bed009a4af573d8f94,6,0x98935cd709b4deefa56987ae8933c3118d7242ad042fc089e52a0379c5065c87,0xe5b94033b44284e77aac88671521aa67582c2f42,0xdac17f958d2ee523a2206206994597c13d831ec7,0xcffad3200574698b78f32232aa9d63eabd290703,600020.0,Tether USD,USDT,6,97,80000,4645754281,41309,7211745,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",3
23075633,1754406179,0x9acbf41aa9fbbf3843e2f565717b49e2d8c173596f89657af08093e5fea3a1a0,0,0x98935cd709b4deefa56987ae8933c3118d7242ad042fc089e52a0379c5065c87,0xdedcd40e6d8851f796b043e81e81502ea9622502,0xdac17f958d2ee523a2206206994597c13d831ec7,0xc315d5ba87f1aa047d7925c534278d8b2f565593,200000.0,Tether USD,USDT,6,86,46109,8245701555,46109,6723308,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",3
23075632,1754406167,0xa7e999907fc78c43bbdd5449e32ecacf838562163b873b80881530b41e9d8605,1721,0x5bb04488df0874cedf081e9f157dd6d7a5d885f1341382ca54998207c4caaba4,0x436f6186cd323abd8433bf1311389e561356b3b5,0xdac17f958d2ee523a2206206994597c13d831ec7,0x4c0ad502dab7aed3fd787d2332d4aca49eec77cd,500000.0,Tether USD,USDT,6,217,96064,4275852561,63209,15650961,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",4
23075632,1754406167,0x6f18eb58e819cf7702d0eb62b83a41d79cbac7f3f96bd1bf0dff7734c78c3506,22,0x5bb04488df0874cedf081e9f157dd6d7a5d885f1341382ca54998207c4caaba4,0xbdd383b2ce323f99af55428615b41df3c388e794,0xdac17f958d2ee523a2206206994597c13d831ec7,0xa4a33827e79911841394e11625f05db5c9a49bd3,500000.004418,Tether USD,USDT,6,36,95261,5165852561,58421,5525075,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",4
23075631,1754406155,0xf81890c952196b1d1c963eca03d5becafef3fb4522dd03470552f80a1f9b0977,8026664,0x608ff673a560e1121e2ea56609e153129af973e30be11428073b409a63d57e9f,0x9696f59e4d72e237be84ffd425dcad154bf96976,0xdac17f958d2ee523a2206206994597c13d831ec7,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,568216.34,Tether USD,USDT,6,159,220436,4512355553,46121,10287327,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",5
23075631,1754406155,0x752d97bb89c50b19762d0320f97856c93dc029e92a82b80ca6b1fdf40fb157c9,824,0x608ff673a560e1121e2ea56609e153129af973e30be11428073b409a63d57e9f,0x8d3b74ca8bf34d4fab9de1228f0e577044ee340c,0xdac17f958d2ee523a2206206994597c13d831ec7,0x8f0ee0393eae7fc1638bd7860a3fec6a663786ae,3220184.97,Tether USD,USDT,6,29,1000000,7612624845,208082,3639398,deprecated,0x96eea750,"mint(tuple order,tuple route,tuple signature)",5
23075630,1754406143,0xf686fb21052a1eba60e93419ee2e2fb41815b82268968d449a97629ce31d6e1c,77208,0xaf495bd20043ef6963242b64825e3c469b4073a4a53c03e5c90863ffae9f5239,0x048f0e7ea2cfd522a4a058d1b1bdd574a0486c46,0xdac17f958d2ee523a2206206994597c13d831ec7,0xd17b3c9784510e33cd5b87b490e79253bcd81e2e,102289.788218,Tether USD,USDT,6,134,6000000,4611599241,279304,12128609,deprecated,0x48f80c16,execute(tuple[] _orders),6
23075629,1754406131,0x5a014b808b7fa191b8461efd2dcd4cf67582be11c0e870dbdfbb3f1f62d2583f,287980,0xceda6a30051337cb11114aea8f126215f7d00f03307e374572e37e3350171625,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,0xdac17f958d2ee523a2206206994597c13d831ec7,0x11b815efb8f581194ae79006d24e0d814b7697f6,110996.416904,Tether USD,USDT,6,0,1065673,57949118524,643782,643782,deprecated,0x000000c3,,7
23075628,1754406119,0xbe76dc6b77aaf627351e8d4514a4b2c1d3000022cc2a38a5b30c32330c12e808,761917,0x3bee857b4b569ba455cf95d3d996c47f755d575fc8c057e39e7f7cbe758079cc,0x58b704065b7aff3ed351052f8560019e05925023,0xdac17f958d2ee523a2206206994597c13d831ec7,0x5fa9cc82f2e743c14bc165f9c25df8db859fd90b,479000.0,Tether USD,USDT,6,158,84000,4671104845,63209,17032541,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",8
23075628,1754406119,0x99849236e0731c2ac8e98ca5d27643ebf8d9900a02a27dd5a8280d8e87e4f9ee,13060178,0x3bee857b4b569ba455cf95d3d996c47f755d575fc8c057e39e7f7cbe758079cc,0x28c6c06298d514db089934071355e5743bf21d60,0xdac17f958d2ee523a2206206994597c13d831ec7,0x56eddb7aa87536c09ccc2793473599fd21a8b17f,80648938.215354,Tether USD,USDT,6,156,220436,4702624845,46133,16923236,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",8
23075628,1754406119,0x48b61c075ab29eba22ea7ca77c4475399f75401f9939edbaacb500bdd1b4e5f1,336630,0x3bee857b4b569ba455cf95d3d996c47f755d575fc8c057e39e7f7cbe758079cc,0x11b815efb8f581194ae79006d24e0d814b7697f6,0xdac17f958d2ee523a2206206994597c13d831ec7,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,4300666.195842,Tether USD,USDT,6,2,395736,4602624845,177868,1544459,deprecated,0x78e111f6,"executeFFsYo(address _address,bytes _bytes)",8
23075628,1754406119,0x5aa33f9b5053cd5f2ee7594f18db66e795b5e309eb367146bc5b913ca5a07050,336629,0x3bee857b4b569ba455cf95d3d996c47f755d575fc8c057e39e7f7cbe758079cc,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,0xdac17f958d2ee523a2206206994597c13d831ec7,0x11b815efb8f581194ae79006d24e0d814b7697f6,4350432.456141,Tether USD,USDT,6,0,597786,4602624845,278893,278893,deprecated,0x1cff79cd,"execute(address _target, bytes _data)",8
23075627,1754406107,0x5549440d915120c590946004c1156544863c15ced83e4b813c301d8041d71f89,8357999,0xd362faac7a6c0766b5aaddf07c81b504478a9aaad2d299f7fd4f34730d7ae826,0x0d0707963952f2fba59dd06f2b425ace40b492fe,0xdac17f958d2ee523a2206206994597c13d831ec7,0xd224e961f33ce0b5e59bf1e2235d0a11bcd1ab28,467469.97,Tether USD,USDT,6,132,1000000,5516348379,63221,16521269,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",9
23075627,1754406107,0x10595bbe8a342a9bf3a06aef24641dfd2b1dbc8c15b8beba4d0602b5fc961ed2,609,0xd362faac7a6c0766b5aaddf07c81b504478a9aaad2d299f7fd4f34730d7ae826,0x7882570840a97a490a37bd8db9e1ae39165bfbd6,0xdac17f958d2ee523a2206206994597c13d831ec7,0x52aa899454998be5b000ad077a46bbe360f4e497,524359.429764,Tether USD,USDT,6,45,840182,5506348379,533429,7496990,deprecated,0x83bd37f9,swapCompact(),9
23075627,1754406107,0x10595bbe8a342a9bf3a06aef24641dfd2b1dbc8c15b8beba4d0602b5fc961ed2,609,0xd362faac7a6c0766b5aaddf07c81b504478a9aaad2d299f7fd4f34730d7ae826,0x7882570840a97a490a37bd8db9e1ae39165bfbd6,0xdac17f958d2ee523a2206206994597c13d831ec7,0x52aa899454998be5b000ad077a46bbe360f4e497,389675.623079,Tether USD,USDT,6,45,840182,5506348379,533429,7496990,deprecated,0x83bd37f9,swapCompact(),9
23075627,1754406107,0x10595bbe8a342a9bf3a06aef24641dfd2b1dbc8c15b8beba4d0602b5fc961ed2,609,0xd362faac7a6c0766b5aaddf07c81b504478a9aaad2d299f7fd4f34730d7ae826,0x7882570840a97a490a37bd8db9e1ae39165bfbd6,0xdac17f958d2ee523a2206206994597c13d831ec7,0x000000000004444c5dc75cb358380d2e3de08a90,356708.905124,Tether USD,USDT,6,45,840182,5506348379,533429,7496990,deprecated,0x83bd37f9,swapCompact(),9
23075627,1754406107,0x10595bbe8a342a9bf3a06aef24641dfd2b1dbc8c15b8beba4d0602b5fc961ed2,609,0xd362faac7a6c0766b5aaddf07c81b504478a9aaad2d299f7fd4f34730d7ae826,0x7882570840a97a490a37bd8db9e1ae39165bfbd6,0xdac17f958d2ee523a2206206994597c13d831ec7,0x4f493b7de8aac7d55f71853688b1f7c8f0243c85,329252.042033,Tether USD,USDT,6,45,840182,5506348379,533429,7496990,deprecated,0x83bd37f9,swapCompact(),9
23075627,1754406107,0x10595bbe8a342a9bf3a06aef24641dfd2b1dbc8c15b8beba4d0602b5fc961ed2,609,0xd362faac7a6c0766b5aaddf07c81b504478a9aaad2d299f7fd4f34730d7ae826,0x7bdc2f3352429c8a9aa518dfcde3813bda522f68,0xdac17f958d2ee523a2206206994597c13d831ec7,0x7882570840a97a490a37bd8db9e1ae39165bfbd6,1599996.0,Tether USD,USDT,6,45,840182,5506348379,533429,7496990,deprecated,0x83bd37f9,swapCompact(),9
23075627,1754406107,0x9fbd4b4a4f30e95c9aabb1a622fcf92b6e0d66aa49292915ee9fb8c97976a434,21,0xd362faac7a6c0766b5aaddf07c81b504478a9aaad2d299f7fd4f34730d7ae826,0x23878914efe38d27c4d67ab83ed1b93a74d4086a,0xdac17f958d2ee523a2206206994597c13d831ec7,0xbdd383b2ce323f99af55428615b41df3c388e794,500000.0,Tether USD,USDT,6,17,479051,5506348379,309641,4729887,deprecated,0xa415bcad,"borrow(address asset, uint256 amount, uint256 interestRateMode, uint16 referralCode, address onBehalfOf)",9
