block_date,avg_whale_tx_size_usd,total_whale_volume_usd,unique_whale_senders,whale_exchange_deposits_usd,whale_exchange_withdrawals_usd,whale_net_exchange_flow_usd,whale_tx_count,price_usd,daily_return,next_day_price_direction
2025-11-11,1193591.8242163735,4257542036.979804,1201,403305046.63490933,718261154.5043697,314956107.8694604,2610,3473.8873655689886,,1
2025-11-10,1355480.521811503,9468031444.853348,2037,882841094.5220572,1080120044.1609359,197278949.6388787,5023,3576.2547046627064,0.029467662109117,0
2025-11-09,783735.0462548217,5446958571.471011,1601,551109527.0158372,643478889.3126907,92369362.29685354,4092,3401.4594003397083,-0.048876637364531295,1
2025-11-08,927573.4027953568,3847574474.7951403,1286,354608708.7849382,353682489.9513586,-926218.8335795999,2916,3434.3512285299594,0.00966991644438453,0
2025-11-07,1360536.3979525457,12229861681.195433,2701,787774264.4622995,833886801.4207225,46112536.95842302,6159,3308.918164921951,-0.03652307386792786,1
2025-11-06,1384829.3466458844,11917841357.234482,2355,914081035.386069,879905652.6275448,-34175382.7585243,6347,3427.6905913706814,0.03589464003910536,0
2025-11-05,1105333.1317958166,15201646561.587866,2658,1262565274.7787645,1377317253.9060721,114751979.12730765,8368,3296.7437604313104,-0.03820264036346621,1
2025-11-04,1289660.1306505383,19727931018.561283,3423,2041962640.243002,2333362421.281261,291399781.038259,11035,3600.71550248779,0.09220363005000776,1
2025-11-03,1214031.790170409,11756683856.01024,2675,1090293865.8626552,877388326.0504884,-212905539.8121668,6645,3910.0947691627284,0.08592160820847505,0
2025-11-02,654774.2483227844,3543638231.9229093,2273,228229396.07275096,270012626.59305835,41783230.52030739,4224,3872.2118961957594,-0.00968847948794882,0
2025-11-01,1527019.7896650394,7251816981.119272,1864,296874750.9919374,159689590.85561806,-137185160.13631934,3617,3847.298177365196,-0.006433976109375572,0
2025-10-31,769211.4519909078,10268972884.078619,5214,775887793.9668318,625329966.4246619,-150557827.54216993,11199,3802.2953645331804,-0.011697251098649053,1
2025-10-30,847664.3157892566,10917916387.365625,2950,671174369.4536693,624830403.2652729,-46343966.188396454,10573,3897.359267616961,0.02500171448291777,1
2025-10-29,1450546.7126801165,11569560580.336609,2539,932705747.1394839,1000714059.3233814,68008312.1838975,5750,3982.3127893175442,0.021797713751067205,1
2025-10-28,1394040.8749798476,12171370879.449049,2402,805973284.225647,929631681.2384659,123658397.01281893,5880,4123.206220671679,0.03537980033413701,1
2025-10-27,927904.3924604306,10390673386.771902,3984,1053690389.8149959,951947310.8018092,-101743079.0131867,7410,4161.590896249249,0.009309424152769585,0
2025-10-26,1124237.750321132,8200190150.842337,2639,384907432.0329329,310694615.99027216,-74212816.04266071,5037,3952.213557935584,-0.05031185033165386,0
2025-10-25,945733.32760617,3292097713.3970776,1234,330945101.51692927,238652352.21410945,-92292749.30281982,2311,3933.232269901015,-0.004802697970724967,0
2025-10-24,1049816.755024664,14057046349.780252,3691,741453548.8608228,658983301.0350918,-82470247.82573104,5369,3855.8421162401205,-0.019675968351302586,0
2025-10-23,1382408.5915350267,9502676658.211773,2299,647151049.5725789,761370190.9770811,114219141.40450215,4568,3801.7907952382916,-0.014018032733802643,1
2025-10-22,749481.400798163,9112194870.904066,4029,900103716.7746154,876728998.403238,-23374718.37137735,6199,3877.4871979550117,0.019910722812925163,1
2025-10-21,1180669.6284496982,10936542768.329554,2352,874795131.0424917,1005880898.5429759,131085767.50048423,5881,3978.7901551344357,0.026125929502191836,1
2025-10-20,1260962.4064489962,11256611402.37019,2223,1050993219.5998943,756953318.0497446,-294039901.5501497,5573,3985.0765644046796,0.0015799801007678749,0
2025-10-19,1003772.2517763176,5100166811.27547,1386,569018405.725612,529979028.1249272,-39039377.60068482,3574,3889.4990302043157,-0.02398386396238339,0
2025-10-18,1032158.313081873,4059478645.3510065,1430,432262893.49011946,449390098.284647,17127204.79452753,2644,3831.244175835675,-0.01497746982741388,1
2025-10-17,1349855.4427507964,13962904699.81424,2882,1065857088.2039437,1010801117.4890519,-55055970.71489179,7173,3890.1993012479857,0.015387984348309347,1
2025-10-16,1036300.5768922829,11209663340.243824,2476,950887727.6559751,1003594036.966371,52706309.310395956,6423,3983.1544356894233,0.02389469722325477,1
2025-10-15,1469952.790875939,13785217272.834557,2540,967951491.9168385,1198297946.8142166,230346454.8973781,6471,4128.888447033946,0.03658758747557789,1
2025-10-14,1409486.0638492862,18846238159.728806,3296,1403433698.556497,1340873683.7352357,-62560014.821261406,8900,4246.217461554773,0.028416610433035894,0
2025-10-13,1254737.5837136558,15097002607.242706,3014,1462540172.5544007,1184388602.9616613,-278151569.59273934,7557,4159.729307791921,-0.020368281781589115,0
2025-10-12,823721.2656273157,9345117758.541897,2813,917832153.5706974,1077104239.658856,159272086.0881585,7129,3749.218185954949,-0.0986869797195723,1
2025-10-11,955426.1453106705,15286818324.970728,4547,1751492465.299293,1779561618.7212944,28069153.42200136,9513,3835.632842050135,0.023048713574181035,1
2025-10-10,875349.2192241445,15535697942.790115,3859,1447144436.873508,1575527024.852676,128382587.97916794,10362,4368.649439385323,0.13896444714199796,1
2025-10-09,1314738.8538055082,12609660346.848629,2904,924436067.0332383,1084296545.3403008,159860478.3070625,6393,4527.578004547945,0.036379335849155314,0
2025-10-08,2257433.8086430333,25509002037.666275,2872,1085776170.405988,1133792358.1283202,48016187.72233224,6190,4454.32846286666,-0.016178526710684205,1
2025-10-07,1467765.4312097323,17550071260.97477,3279,1512550201.5580783,1566627054.2906702,54076852.73259187,7752,4689.131734746596,0.052713506387632725,0
2025-10-06,1848107.1793566165,21942576540.501106,2926,1276907484.8203487,1377009687.535369,100102202.71502018,7359,4515.321391965295,-0.0370666367705903,0
2025-10-05,1130456.9900812036,7647541537.899343,2004,970406734.1809665,609672447.4675637,-360734286.71340275,4518,4487.706651673285,-0.006115786207632756,1
2025-10-04,1268983.123505367,6259893748.251975,1720,1259765507.813024,907804386.9977034,-351961120.8153206,3495,4515.759068159723,0.006250947012318431,0
2025-10-03,1090766.1121400013,12371469243.891893,2693,884372241.0138124,1057947003.0734973,173574762.05968487,7133,4484.006245909478,-0.007031558099308666,0
2025-10-02,1238954.1553135102,13788320794.484055,2705,1567074290.2823486,1541803413.1107166,-25270877.17163205,7311,4343.951983440489,-0.03123418095074082,0
2025-10-01,1445564.2418983264,14068231202.154512,2903,1350769581.8851151,1386226455.7281766,35456873.84306145,6207,4144.230463371581,-0.04597691706314044,1
2025-09-30,1407275.2776008602,14027719967.125374,3032,719369551.7513961,849546370.5331059,130176818.78170979,6144,4215.61278947927,0.017224506874942147,0
2025-09-29,1189538.8903493907,11122188624.766804,2260,865374698.4126967,907488412.5969205,42113714.18422377,5905,4141.839664086501,-0.017499976652713745,0
2025-09-28,963960.7547742812,7456236438.179065,1369,271887546.72367907,248263024.33135045,-23624522.39232862,3785,4018.167453105732,-0.029859246376222393,1
2025-09-27,1139827.6125475615,6034247380.826791,1485,536746721.1588228,404335415.66090924,-132411305.49791354,3796,4037.0979210260916,0.004711219266317013,0
2025-09-26,1732091.0276138082,18931754931.818924,2550,1067055364.0563852,1240651827.8194153,173596463.76303017,7514,3863.0632875907245,-0.04310884621573252,1
2025-09-25,1623901.9902794273,19709298456.021408,3134,1361487617.2100096,1400811568.5234725,39323951.31346297,9270,4148.65682762035,0.07392929361189449,1
2025-09-24,1556230.3711151592,14595884650.68908,2294,550460622.02877,617881977.2017945,67421355.17302454,6069,4166.1905498775295,0.0042263612021236074,1
2025-09-23,1262320.5958564843,11115995167.1122,2218,846053218.369602,856701154.9499843,10647936.580382347,6256,4199.951774017639,0.008103619778289328,1
2025-09-22,1500719.9295995275,17262781350.183365,2873,1384752660.2893717,1485107098.0852005,100354437.79582882,8988,4452.87113037789,0.06021958583546083,1
2025-09-21,1049425.841551378,5215646432.510348,1320,529722014.40757513,581232214.3742886,51510199.96671343,3487,4481.799472368209,0.00649655944295513,0
2025-09-20,1060067.618111217,4932494627.071492,1427,500870080.3302202,605909202.5076479,105039122.17742765,3269,4470.479474009387,-0.002525770826788065,1
2025-09-19,2019963.1166982665,15830450945.564314,2421,1155548506.909278,932683208.6028571,-222865298.3064208,5689,4590.6367372135155,0.02687793645015102,1
2025-09-18,2115664.769952985,16847038563.135618,2435,1590668581.4799936,2306177343.6717386,715508762.191745,5984,4591.768794331328,0.0002466013284465607,0
2025-09-17,1501283.3765813177,13067170509.76379,2585,1168168445.9354,1193791638.198529,25623192.263128996,6490,4504.266635522813,-0.01905630765132138,1
2025-09-16,1892660.8463994379,14132498540.064602,2183,957267696.1217095,948480867.1705433,-8786828.951166153,5604,4524.244939102515,0.004435417615409998,1
2025-09-15,1606035.8734363292,13986966421.75699,2350,992621356.6024324,1093186655.5550516,100565298.9526192,6128,4609.786110950785,0.018907281325320824,1
